global_step,epoch,batch,samples_seen,batch_size,train_loss,state_loss,control_loss,lr,elapsed_sec
1,1,1,128,128,6.317112922668457,6.317112922668457,1.1637619733810425,0.001,0.01961350440979004
2,1,2,256,128,6.577177047729492,6.577177047729492,0.7793876528739929,0.001,0.0379335880279541
3,1,3,384,128,5.798608303070068,5.798608303070068,1.056496024131775,0.001,0.055863142013549805
4,1,4,512,128,5.965047359466553,5.965047359466553,1.0594372749328613,0.001,0.07364821434020996
5,1,5,640,128,6.360673904418945,6.360673904418945,1.127059817314148,0.001,0.09193754196166992
6,1,6,768,128,5.912147521972656,5.912147521972656,1.0404003858566284,0.001,0.10997939109802246
7,1,7,896,128,5.762401103973389,5.762401103973389,1.1686148643493652,0.001,0.1279900074005127
8,1,8,1024,128,5.884929656982422,5.884929656982422,1.3164033889770508,0.001,0.14582037925720215
9,1,9,1152,128,6.200349807739258,6.200349807739258,0.8584989905357361,0.001,0.16430997848510742
10,1,10,1280,128,5.6868577003479,5.6868577003479,1.0193270444869995,0.001,0.1824479103088379
11,1,11,1408,128,5.6185302734375,5.6185302734375,0.8533679246902466,0.001,0.200103759765625
12,1,12,1536,128,6.106237888336182,6.106237888336182,1.3025637865066528,0.001,0.21811914443969727
13,1,13,1664,128,5.421221733093262,5.421221733093262,0.9724416136741638,0.001,0.2364501953125
14,1,14,1792,128,6.191108226776123,6.191108226776123,0.7439395189285278,0.001,0.2544381618499756
15,1,15,1920,128,4.9870171546936035,4.9870171546936035,0.9984860420227051,0.001,0.2724001407623291
16,1,16,2048,128,5.474799156188965,5.474799156188965,0.9081568717956543,0.001,0.29071855545043945
17,1,17,2176,128,5.153907299041748,5.153907299041748,1.4622387886047363,0.001,0.3083460330963135
18,1,18,2304,128,5.747241497039795,5.747241497039795,1.347267746925354,0.001,0.32582712173461914
19,1,19,2432,128,5.424796104431152,5.424796104431152,1.4893821477890015,0.001,0.3435530662536621
20,1,20,2560,128,4.329924583435059,4.329924583435059,1.1646090745925903,0.001,0.36171984672546387
21,1,21,2688,128,5.683627605438232,5.683627605438232,1.1575016975402832,0.001,0.3796868324279785
22,1,22,2816,128,5.472789764404297,5.472789764404297,0.8807617425918579,0.001,0.39774608612060547
23,1,23,2944,128,4.660934925079346,4.660934925079346,1.0600429773330688,0.001,0.4154825210571289
24,1,24,3072,128,5.531153678894043,5.531153678894043,0.9527472257614136,0.001,0.4335770606994629
25,1,25,3200,128,4.277101516723633,4.277101516723633,0.9666972160339355,0.001,0.4516627788543701
26,1,26,3328,128,4.530715465545654,4.530715465545654,0.9012131094932556,0.001,0.4694828987121582
27,1,27,3456,128,4.056790351867676,4.056790351867676,0.7445683479309082,0.001,0.48716163635253906
28,1,28,3584,128,4.344909191131592,4.344909191131592,0.9424042701721191,0.001,0.5051558017730713
29,1,29,3712,128,4.092076301574707,4.092076301574707,0.94932621717453,0.001,0.523078441619873
30,1,30,3840,128,4.280799865722656,4.280799865722656,1.1384859085083008,0.001,0.541118860244751
31,1,31,3968,128,4.762842178344727,4.762842178344727,1.158413052558899,0.001,0.5595765113830566
32,1,32,4096,128,4.101300239562988,4.101300239562988,1.2053354978561401,0.001,0.5776684284210205
33,1,33,4224,128,4.392098903656006,4.392098903656006,1.1873126029968262,0.001,0.5951671600341797
34,1,34,4352,128,3.6878466606140137,3.6878466606140137,1.00520658493042,0.001,0.6129848957061768
35,1,35,4480,128,4.416987419128418,4.416987419128418,0.7090215086936951,0.001,0.6310670375823975
36,1,36,4608,128,4.360465049743652,4.360465049743652,0.9546021819114685,0.001,0.6488587856292725
37,1,37,4736,128,4.525301456451416,4.525301456451416,1.0833675861358643,0.001,0.6666965484619141
38,1,38,4864,128,4.481294631958008,4.481294631958008,0.7440572381019592,0.001,0.6849460601806641
39,1,39,4992,128,4.2350969314575195,4.2350969314575195,1.3055462837219238,0.001,0.7029221057891846
40,1,40,5120,128,4.095449447631836,4.095449447631836,1.3307379484176636,0.001,0.7208733558654785
41,1,41,5248,128,4.022963047027588,4.022963047027588,1.2369296550750732,0.001,0.7384419441223145
42,1,42,5376,128,4.115053176879883,4.115053176879883,0.9347742795944214,0.001,0.7565505504608154
43,1,43,5504,128,4.215451717376709,4.215451717376709,1.1427876949310303,0.001,0.7746217250823975
44,1,44,5632,128,3.520909070968628,3.520909070968628,1.2675774097442627,0.001,0.7926874160766602
45,1,45,5760,128,3.452501058578491,3.452501058578491,1.1244276762008667,0.001,0.8105885982513428
46,1,46,5888,128,3.578275680541992,3.578275680541992,0.9714599847793579,0.001,0.8289151191711426
47,1,47,6016,128,4.014214515686035,4.014214515686035,0.9586273431777954,0.001,0.8468635082244873
48,1,48,6144,128,3.881556272506714,3.881556272506714,1.319380283355713,0.001,0.8645884990692139
49,1,49,6272,128,4.528408527374268,4.528408527374268,1.296472430229187,0.001,0.8826758861541748
50,1,50,6400,128,3.8430333137512207,3.8430333137512207,0.7180666327476501,0.001,0.9008803367614746
51,1,51,6528,128,3.3235323429107666,3.3235323429107666,0.8202532529830933,0.001,0.9188752174377441
52,1,52,6656,128,4.081565856933594,4.081565856933594,1.3667552471160889,0.001,0.9367718696594238
53,1,53,6784,128,3.1080119609832764,3.1080119609832764,1.234476089477539,0.001,0.9552488327026367
54,1,54,6912,128,3.441765308380127,3.441765308380127,1.144635796546936,0.001,0.9735195636749268
55,1,55,7040,128,3.604290008544922,3.604290008544922,0.8234522342681885,0.001,0.9914579391479492
56,1,56,7168,128,3.3629679679870605,3.3629679679870605,1.1015658378601074,0.001,1.0092699527740479
57,1,57,7296,128,3.0675106048583984,3.0675106048583984,1.318970799446106,0.001,1.0274853706359863
58,1,58,7424,128,3.737779378890991,3.737779378890991,1.3096250295639038,0.001,1.0454554557800293
59,1,59,7552,128,3.5386886596679688,3.5386886596679688,1.0601096153259277,0.001,1.063075304031372
60,1,60,7680,128,4.001872539520264,4.001872539520264,1.002555012702942,0.001,1.080639362335205
61,1,61,7808,128,3.5038578510284424,3.5038578510284424,0.9251165986061096,0.001,1.0989062786102295
62,1,62,7936,128,3.7847445011138916,3.7847445011138916,1.1177310943603516,0.001,1.1165225505828857
63,1,63,8064,128,3.392819404602051,3.392819404602051,0.9559831023216248,0.001,1.1343016624450684
64,1,64,8192,128,4.074036598205566,4.074036598205566,1.143348217010498,0.001,1.1524369716644287
65,1,65,8320,128,3.708085298538208,3.708085298538208,1.2277151346206665,0.001,1.1699018478393555
66,1,66,8448,128,3.6932485103607178,3.6932485103607178,1.2996764183044434,0.001,1.1873459815979004
67,1,67,8576,128,4.000487804412842,4.000487804412842,0.9558370113372803,0.001,1.20485520362854
68,1,68,8704,128,3.384359359741211,3.384359359741211,1.4607305526733398,0.001,1.2226827144622803
69,1,69,8832,128,3.08975887298584,3.08975887298584,1.1507503986358643,0.001,1.2402632236480713
70,1,70,8960,128,3.5052080154418945,3.5052080154418945,1.2755002975463867,0.001,1.257744550704956
71,1,71,9088,128,2.734431505203247,2.734431505203247,0.7953830361366272,0.001,1.2751357555389404
72,1,72,9216,128,3.3276286125183105,3.3276286125183105,1.1930558681488037,0.001,1.292853593826294
73,1,73,9344,128,3.523142099380493,3.523142099380493,0.727654755115509,0.001,1.3103957176208496
74,1,74,9472,128,3.3618178367614746,3.3618178367614746,0.7036013007164001,0.001,1.327826976776123
75,1,75,9600,128,3.3159778118133545,3.3159778118133545,1.0834715366363525,0.001,1.345634937286377
76,1,76,9728,128,3.1109862327575684,3.1109862327575684,0.9383020401000977,0.001,1.3635575771331787
77,1,77,9856,128,3.0143797397613525,3.0143797397613525,1.2252895832061768,0.001,1.381256103515625
78,1,78,9984,128,3.2958805561065674,3.2958805561065674,1.3719432353973389,0.001,1.3989083766937256
79,1,79,10112,128,3.840453624725342,3.840453624725342,1.2426400184631348,0.001,1.4166548252105713
80,1,80,10240,128,3.271815299987793,3.271815299987793,1.2473158836364746,0.001,1.4346189498901367
81,1,81,10368,128,2.8433282375335693,2.8433282375335693,0.9658855199813843,0.001,1.452120304107666
82,1,82,10496,128,3.6020116806030273,3.6020116806030273,1.4965031147003174,0.001,1.4694597721099854
83,1,83,10624,128,3.208806037902832,3.208806037902832,0.8802739381790161,0.001,1.4875140190124512
84,1,84,10752,128,3.063127279281616,3.063127279281616,0.9568514227867126,0.001,1.5053906440734863
85,1,85,10880,128,2.9043145179748535,2.9043145179748535,1.2234508991241455,0.001,1.5232734680175781
86,1,86,11008,128,3.1660656929016113,3.1660656929016113,1.042341709136963,0.001,1.541088342666626
87,1,87,11136,128,2.6050071716308594,2.6050071716308594,1.242568016052246,0.001,1.5589275360107422
88,1,88,11264,128,2.9541213512420654,2.9541213512420654,0.9674711227416992,0.001,1.5766732692718506
89,1,89,11392,128,2.653259754180908,2.653259754180908,1.0470662117004395,0.001,1.5942730903625488
90,1,90,11520,128,2.8543615341186523,2.8543615341186523,1.2485028505325317,0.001,1.6117351055145264
91,1,91,11648,128,2.5069174766540527,2.5069174766540527,1.2127217054367065,0.001,1.6293718814849854
92,1,92,11776,128,2.6170997619628906,2.6170997619628906,1.0002422332763672,0.001,1.6469874382019043
93,1,93,11904,128,3.2646050453186035,3.2646050453186035,0.9228050708770752,0.001,1.6645395755767822
94,1,94,12032,128,2.719255208969116,2.719255208969116,1.0395898818969727,0.001,1.6823327541351318
95,1,95,12160,128,2.962470054626465,2.962470054626465,1.1652506589889526,0.001,1.7001526355743408
96,1,96,12288,128,2.4764511585235596,2.4764511585235596,1.0671786069869995,0.001,1.7176158428192139
97,1,97,12416,128,2.3068487644195557,2.3068487644195557,1.0915428400039673,0.001,1.735337734222412
98,1,98,12544,128,2.9856784343719482,2.9856784343719482,1.170336365699768,0.001,1.753281593322754
99,1,99,12672,128,2.6290783882141113,2.6290783882141113,1.1614859104156494,0.001,1.7713425159454346
100,1,100,12800,128,2.256768226623535,2.256768226623535,1.1807693243026733,0.001,1.789320707321167
101,1,101,12928,128,2.715024709701538,2.715024709701538,1.4057668447494507,0.001,1.8072168827056885
102,1,102,13056,128,2.3737382888793945,2.3737382888793945,0.8850510120391846,0.001,1.8251922130584717
103,1,103,13184,128,3.4358880519866943,3.4358880519866943,1.0314255952835083,0.001,1.8428254127502441
104,1,104,13312,128,2.947110891342163,2.947110891342163,0.7822543382644653,0.001,1.8606064319610596
105,1,105,13440,128,3.194786310195923,3.194786310195923,1.3481948375701904,0.001,1.8784122467041016
106,1,106,13568,128,2.8340818881988525,2.8340818881988525,1.1131483316421509,0.001,1.8963384628295898
107,1,107,13696,128,2.6395671367645264,2.6395671367645264,1.1109364032745361,0.001,1.9141647815704346
108,1,108,13824,128,3.1877996921539307,3.1877996921539307,1.0189738273620605,0.001,1.9318983554840088
109,1,109,13952,128,2.3473997116088867,2.3473997116088867,1.176901936531067,0.001,1.9498097896575928
110,1,110,14080,128,2.383075475692749,2.383075475692749,1.009605884552002,0.001,1.9677410125732422
111,1,111,14208,128,2.372976541519165,2.372976541519165,1.1807973384857178,0.001,1.9854631423950195
112,1,112,14336,128,3.0451080799102783,3.0451080799102783,1.173902153968811,0.001,2.0031163692474365
113,1,113,14464,128,2.728259325027466,2.728259325027466,1.2536972761154175,0.001,2.021138906478882
114,1,114,14592,128,2.7532615661621094,2.7532615661621094,1.031571626663208,0.001,2.038935422897339
115,1,115,14720,128,2.7002758979797363,2.7002758979797363,1.0663114786148071,0.001,2.0569121837615967
116,1,116,14848,128,2.42448353767395,2.42448353767395,1.2474520206451416,0.001,2.074596881866455
117,1,117,14976,128,2.3436055183410645,2.3436055183410645,1.1473103761672974,0.001,2.092421293258667
118,1,118,15104,128,2.7388315200805664,2.7388315200805664,0.7875922322273254,0.001,2.109900951385498
119,1,119,15232,128,2.6322643756866455,2.6322643756866455,1.2850593328475952,0.001,2.1274185180664062
120,1,120,15360,128,2.649334669113159,2.649334669113159,1.1576988697052002,0.001,2.1448285579681396
121,1,121,15488,128,2.5126638412475586,2.5126638412475586,0.8841347694396973,0.001,2.1628146171569824
122,1,122,15616,128,2.934333086013794,2.934333086013794,1.0589032173156738,0.001,2.180272340774536
123,1,123,15744,128,2.5824615955352783,2.5824615955352783,0.7363017201423645,0.001,2.1975269317626953
124,1,124,15872,128,2.087082862854004,2.087082862854004,1.0509965419769287,0.001,2.2148213386535645
125,1,125,16000,128,2.4966647624969482,2.4966647624969482,1.136616587638855,0.001,2.232743740081787
126,1,126,16128,128,2.0228002071380615,2.0228002071380615,0.9141747355461121,0.001,2.250427484512329
127,1,127,16256,128,2.5693821907043457,2.5693821907043457,1.2483323812484741,0.001,2.2680985927581787
128,1,128,16384,128,2.3974952697753906,2.3974952697753906,0.9838330149650574,0.001,2.285259485244751
129,1,129,16512,128,2.4215431213378906,2.4215431213378906,1.1334975957870483,0.001,2.303192377090454
130,1,130,16640,128,2.330188035964966,2.330188035964966,0.681411862373352,0.001,2.3208141326904297
131,1,131,16768,128,2.4914257526397705,2.4914257526397705,0.988215982913971,0.001,2.3380661010742188
132,1,132,16896,128,2.1478428840637207,2.1478428840637207,0.7907631397247314,0.001,2.356224536895752
133,1,133,17024,128,2.2620458602905273,2.2620458602905273,1.1147505044937134,0.001,2.373992919921875
134,1,134,17152,128,2.7556893825531006,2.7556893825531006,0.9231667518615723,0.001,2.3917601108551025
135,1,135,17280,128,2.632596492767334,2.632596492767334,1.2177278995513916,0.001,2.4093966484069824
136,1,136,17408,128,2.427316427230835,2.427316427230835,1.232733964920044,0.001,2.427534818649292
137,1,137,17536,128,2.539555072784424,2.539555072784424,0.9945515990257263,0.001,2.445573568344116
138,1,138,17664,128,2.3764801025390625,2.3764801025390625,1.0590413808822632,0.001,2.463487386703491
139,1,139,17792,128,2.129948616027832,2.129948616027832,0.9544261693954468,0.001,2.4812309741973877
140,1,140,17920,128,2.11337947845459,2.11337947845459,1.1761707067489624,0.001,2.4993326663970947
141,1,141,18048,128,2.225458860397339,2.225458860397339,1.2250794172286987,0.001,2.5173568725585938
142,1,142,18176,128,2.738901376724243,2.738901376724243,1.2660410404205322,0.001,2.535344123840332
143,1,143,18304,128,2.0026473999023438,2.0026473999023438,1.427139401435852,0.001,2.552842855453491
144,1,144,18432,128,2.598734140396118,2.598734140396118,1.2218153476715088,0.001,2.571122169494629
145,1,145,18560,128,2.1828956604003906,2.1828956604003906,1.0449241399765015,0.001,2.58907413482666
146,1,146,18688,128,2.0523788928985596,2.0523788928985596,0.9571535587310791,0.001,2.6067025661468506
147,1,147,18816,128,2.0866360664367676,2.0866360664367676,1.6048451662063599,0.001,2.6248700618743896
148,1,148,18944,128,2.0460166931152344,2.0460166931152344,1.24751877784729,0.001,2.642861843109131
149,1,149,19072,128,2.4011294841766357,2.4011294841766357,1.113629698753357,0.001,2.6607749462127686
150,1,150,19200,128,2.2909278869628906,2.2909278869628906,1.078331708908081,0.001,2.6785757541656494
151,1,151,19328,128,2.2595324516296387,2.2595324516296387,0.9593842029571533,0.001,2.6970927715301514
152,1,152,19456,128,2.4336516857147217,2.4336516857147217,0.9680270552635193,0.001,2.7151708602905273
153,1,153,19584,128,2.4608497619628906,2.4608497619628906,0.7774945497512817,0.001,2.733145236968994
154,1,154,19589,5,2.232807159423828,2.232807159423828,0.42782673239707947,0.001,2.735834836959839
155,2,1,19717,128,2.1264936923980713,2.1264936923980713,1.0370032787322998,0.001,3.410412073135376
156,2,2,19845,128,2.295245409011841,2.295245409011841,1.1361802816390991,0.001,3.4280567169189453
157,2,3,19973,128,2.4573216438293457,2.4573216438293457,1.0140628814697266,0.001,3.445712089538574
158,2,4,20101,128,2.1521267890930176,2.1521267890930176,1.433173418045044,0.001,3.4631404876708984
159,2,5,20229,128,2.3010642528533936,2.3010642528533936,0.9182865619659424,0.001,3.480717897415161
160,2,6,20357,128,2.426523447036743,2.426523447036743,0.9278994202613831,0.001,3.498615026473999
161,2,7,20485,128,2.255295991897583,2.255295991897583,1.0749009847640991,0.001,3.51650333404541
162,2,8,20613,128,2.8541738986968994,2.8541738986968994,0.9134469032287598,0.001,3.533998489379883
163,2,9,20741,128,2.2345001697540283,2.2345001697540283,1.1443276405334473,0.001,3.551633358001709
164,2,10,20869,128,1.8741384744644165,1.8741384744644165,1.294485330581665,0.001,3.5694878101348877
165,2,11,20997,128,2.0137417316436768,2.0137417316436768,1.1770687103271484,0.001,3.5871376991271973
166,2,12,21125,128,2.281151294708252,2.281151294708252,1.2097413539886475,0.001,3.6047301292419434
167,2,13,21253,128,2.236112356185913,2.236112356185913,1.5243629217147827,0.001,3.6224169731140137
168,2,14,21381,128,1.9509856700897217,1.9509856700897217,0.9530492424964905,0.001,3.640336513519287
