global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
1,1,1,128,128,150.6786651611328,150.65493774414062,0.16624991595745087,0.7100775241851807,0.001,1.4579219818115234
2,1,2,256,128,146.1555633544922,146.13833618164062,0.10045569390058517,0.7183025479316711,0.001,2.897984266281128
3,1,3,384,128,141.6040496826172,141.58773803710938,0.09066563099622726,0.7246250510215759,0.001,4.339381456375122
4,1,4,512,128,136.8204803466797,136.77146911621094,0.41696062684059143,0.7314866185188293,0.001,5.790782928466797
5,1,5,640,128,144.3975067138672,144.33737182617188,0.5274203419685364,0.7382301092147827,0.001,7.233386278152466
6,1,6,768,128,148.42007446289062,148.34695434570312,0.6564064621925354,0.7471211552619934,0.001,8.677868366241455
7,1,7,896,128,146.9769287109375,146.85719299316406,1.1217011213302612,0.757560670375824,0.001,10.126214742660522
8,1,8,1024,128,141.98887634277344,141.85763549804688,1.2354211807250977,0.7699081301689148,0.001,11.574690580368042
9,1,9,1152,128,151.9645538330078,151.83377075195312,1.2291853427886963,0.7851635813713074,0.001,13.024533748626709
10,1,10,1280,128,148.7946014404297,148.66665649414062,1.1992762088775635,0.8018040657043457,0.001,14.440514087677002
11,1,11,1408,128,134.91014099121094,134.78759765625,1.1433807611465454,0.8215396404266357,0.001,15.856256008148193
12,1,12,1536,128,143.18490600585938,143.0579833984375,1.1845874786376953,0.8474811315536499,0.001,17.234484910964966
13,1,13,1664,128,136.4156951904297,136.29779052734375,1.0915255546569824,0.8752477765083313,0.001,18.636460304260254
14,1,14,1792,128,143.43386840820312,143.32388305664062,1.0088659524917603,0.9087885022163391,0.001,20.0115385055542
15,1,15,1920,128,135.38136291503906,135.28341674804688,0.8844322562217712,0.9509610533714294,0.001,21.366528272628784
16,1,16,2048,128,132.161376953125,132.0785675048828,0.7288027405738831,0.9929686188697815,0.001,22.786200523376465
17,1,17,2176,128,119.34701538085938,119.28417205810547,0.5236889719963074,1.0478252172470093,0.001,24.186967611312866
18,1,18,2304,128,119.48211669921875,119.42345428466797,0.4735340178012848,1.1305809020996094,0.001,25.617671966552734
19,1,19,2432,128,105.67191314697266,105.6171646118164,0.4277198016643524,1.1981528997421265,0.001,27.06140422821045
20,1,20,2560,128,113.12315368652344,113.07310485839844,0.36977535486221313,1.3066344261169434,0.001,28.506946802139282
21,1,21,2688,128,98.03996276855469,98.00316619873047,0.22735920548439026,1.4058799743652344,0.001,29.95559024810791
22,1,22,2816,128,97.0032958984375,96.96672058105469,0.2122272253036499,1.5350416898727417,0.001,31.39494299888611
23,1,23,2944,128,81.2606201171875,81.2300033569336,0.1392868012189865,1.6687606573104858,0.001,32.80038118362427
24,1,24,3072,128,71.38824462890625,71.36151885986328,0.08464666455984116,1.8265329599380493,0.001,34.223047494888306
25,1,25,3200,128,64.64688873291016,64.61785888671875,0.08890664577484131,2.014188528060913,0.001,35.62906861305237
26,1,26,3328,128,50.84490966796875,50.81929016113281,0.03468802571296692,2.215287446975708,0.001,37.04728627204895
27,1,27,3456,128,42.834190368652344,42.806575775146484,0.02998359315097332,2.4615750312805176,0.001,38.43189716339111
28,1,28,3584,128,34.998294830322266,34.968788146972656,0.024567604064941406,2.705186128616333,0.001,39.79403829574585
29,1,29,3712,128,28.75235366821289,28.7197208404541,0.02856261096894741,2.9775588512420654,0.001,41.09069490432739
30,1,30,3840,128,25.035253524780273,24.999664306640625,0.028841352090239525,3.2705492973327637,0.001,42.31684970855713
31,1,31,3968,128,28.585548400878906,28.54633140563965,0.032580334693193436,3.595940351486206,0.001,43.555663108825684
32,1,32,4096,128,29.878864288330078,29.836938858032227,0.028073061257600784,3.9118456840515137,0.001,44.78804874420166
33,1,33,4224,128,27.3782901763916,27.33402442932129,0.020875876769423485,4.217873573303223,0.001,46.011794567108154
34,1,34,4352,128,31.127113342285156,31.079835891723633,0.020887155085802078,4.518937587738037,0.001,47.2445867061615
35,1,35,4480,128,38.24153137207031,38.190608978271484,0.025173714384436607,4.840291976928711,0.001,48.48481869697571
36,1,36,4608,128,32.190147399902344,32.13623046875,0.023312179371714592,5.158570766448975,0.001,49.71231293678284
37,1,37,4736,128,33.85090255737305,33.79354476928711,0.024480678141117096,5.490884780883789,0.001,50.947043657302856
38,1,38,4864,128,33.8602180480957,33.799320220947266,0.02594219148159027,5.830284118652344,0.001,52.179675340652466
39,1,39,4992,128,34.201839447021484,34.1373405456543,0.027727309614419937,6.172652721405029,0.001,53.415130615234375
40,1,40,5120,128,25.769649505615234,25.702327728271484,0.02089649625122547,6.523169040679932,0.001,54.64716625213623
41,1,41,5248,128,28.992488861083984,28.92119598388672,0.026086315512657166,6.868330955505371,0.001,56.04073643684387
42,1,42,5376,128,30.04189109802246,29.967885971069336,0.024101756513118744,7.159377098083496,0.001,57.34846520423889
43,1,43,5504,128,32.355186462402344,32.27716827392578,0.027932971715927124,7.52259635925293,0.001,58.584343671798706
44,1,44,5632,128,26.174222946166992,26.09393310546875,0.02243169955909252,7.804738521575928,0.001,59.82105350494385
45,1,45,5760,128,26.384597778320312,26.302270889282227,0.02433505281805992,7.989378929138184,0.001,61.081120014190674
46,1,46,5888,128,34.00483703613281,33.92229080200195,0.02094496227800846,8.045035362243652,0.001,62.31696319580078
47,1,47,6016,128,29.67670440673828,29.59382438659668,0.02561270073056221,8.03177261352539,0.001,63.56252431869507
48,1,48,6144,128,26.959070205688477,26.876142501831055,0.028147712349891663,8.011333465576172,0.001,64.77648425102234
49,1,49,6272,128,28.43175506591797,28.348941802978516,0.023571724072098732,8.045517921447754,0.001,66.0397469997406
50,1,50,6400,128,29.35045623779297,29.267406463623047,0.020340366289019585,8.101600646972656,0.001,67.28263401985168
51,1,51,6528,128,29.42376708984375,29.339445114135742,0.02484765090048313,8.183717727661133,0.001,68.53772354125977
52,1,52,6656,128,32.00354766845703,31.91753578186035,0.026107370853424072,8.340103149414062,0.001,69.81896471977234
53,1,53,6784,128,24.86302375793457,24.775712966918945,0.025321558117866516,8.477804183959961,0.001,71.0577871799469
54,1,54,6912,128,29.257431030273438,29.168384552001953,0.027251070365309715,8.63210391998291,0.001,72.30006003379822
55,1,55,7040,128,31.446195602416992,31.356355667114258,0.02237648330628872,8.760299682617188,0.001,73.54746294021606
56,1,56,7168,128,28.717830657958984,28.626670837402344,0.026669485494494438,8.849347114562988,0.001,74.78386187553406
