global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
1,1,1,128,128,155.57077026367188,155.4576873779297,1.0531188249588013,0.7771927714347839,0.001,1.5950169563293457
2,1,2,256,128,148.09646606445312,147.99253845214844,0.9602419137954712,0.7903737425804138,0.001,3.0059432983398438
3,1,3,384,128,150.8970489501953,150.7919158935547,0.9702587127685547,0.8103694319725037,0.001,4.410652160644531
4,1,4,512,128,159.7255401611328,159.61537170410156,1.018275260925293,0.8349817991256714,0.001,5.819209575653076
5,1,5,640,128,152.2255859375,152.1285858154297,0.8839285969734192,0.8608545064926147,0.001,7.213807582855225
6,1,6,768,128,150.35308837890625,150.25942993164062,0.8476799130439758,0.8896088004112244,0.001,8.614237070083618
7,1,7,896,128,145.2234649658203,145.13099670410156,0.8315271735191345,0.9321719408035278,0.001,9.948981285095215
8,1,8,1024,128,136.18055725097656,136.09532165527344,0.7553229331970215,0.9709071516990662,0.001,11.3345468044281
9,1,9,1152,128,143.51828002929688,143.43482971191406,0.7309005260467529,1.0362268686294556,0.001,12.661566734313965
10,1,10,1280,128,140.27085876464844,140.1891632080078,0.7059480547904968,1.1088731288909912,0.001,14.031061887741089
11,1,11,1408,128,146.10089111328125,146.02264404296875,0.6629588603973389,1.19500732421875,0.001,15.411473274230957
12,1,12,1536,128,142.8329315185547,142.7566375732422,0.6342762112617493,1.2861371040344238,0.001,16.794522047042847
13,1,13,1664,128,130.92332458496094,130.8516082763672,0.5760980248451233,1.4100329875946045,0.001,18.176130056381226
14,1,14,1792,128,131.3317413330078,131.25021362304688,0.6571032404899597,1.5822665691375732,0.001,19.51897954940796
15,1,15,1920,128,130.2799530029297,130.19839477539062,0.6356000900268555,1.7998512983322144,0.001,20.857040405273438
16,1,16,2048,128,124.86932373046875,124.7998275756836,0.49198219180107117,2.0295891761779785,0.001,22.18712615966797
17,1,17,2176,128,110.42813873291016,110.35774993896484,0.4712711274623871,2.326261043548584,0.001,23.512773752212524
18,1,18,2304,128,110.930908203125,110.85527038574219,0.4851597249507904,2.7120420932769775,0.001,24.84502148628235
19,1,19,2432,128,110.53864288330078,110.4605712890625,0.4672498404979706,3.1352744102478027,0.001,26.214197874069214
20,1,20,2560,128,92.46031951904297,92.38385772705078,0.4006917476654053,3.63916015625,0.001,27.60028576850891
21,1,21,2688,128,84.27346801757812,84.19132232666016,0.400635302066803,4.208718299865723,0.001,28.992318630218506
22,1,22,2816,128,68.66650390625,68.60203552246094,0.15844522416591644,4.86226224899292,0.001,30.367949724197388
23,1,23,2944,128,54.448421478271484,54.39020919799805,0.023339776322245598,5.587642669677734,0.001,31.744203567504883
24,1,24,3072,128,41.323368072509766,41.25651550292969,0.025040537118911743,6.435055255889893,0.001,33.15982627868652
